date,comments
2021-01-11,Lamentablemente es conocido que la vacuna Sputnilk carece de la tercera etapa de investigación . Se desconocen efectos adversos y secundarios de la vacuna. Lo cual la hace insegura para aplicarla. Seria usarla a ciegas. Y que hay del proceso de elaboración ? Es una incógnita. Su composición ?
2021-01-11,"ninguna Vacuna ha llegado a fase 3,todas estan en fase 2,xq son de emergencia"
2021-01-11,"la fase 3 se refiere a que se da la vacuna a un numero relativamente grande para aprender entre otras cosas, los efectos adversos. Tanto la Pfizer como la AstraZeneca hicieron esa fase de sacsr a la venta. La Sputnin no la hizo y aun asi la esta vendiendo . ."
2021-01-11,ya hay vacunas en etapa 3
2021-01-11,Entonces Arce y Choquehuanca podran vacunarse primero sin miedo
2021-01-11,también los periodistas de atb
2021-01-11,y ellos que tienen que ver? 😂
2021-01-11,no seas m a r u l o
2021-01-11,escriba bien cual es el miedo?? Jaja supongo si lo dice tiene argumentos o ni eso??
2021-01-11,"En ciencia no interesa lo que decimos, sino lo que podemos probar, le falta los estudios de fase III para población vulnerable mayor de 60 años...osea que la información es incompleta."
2021-01-11,la van publicar en mayo (aun deduzco que le irá bien... El instituto gamaleya es respetable.)
2021-01-11,"pues vender una vacuna sin esos estudios no habla bien de Gamaleya, deberían haber sido más cautos y no venderla aún..."
2021-01-11,todas las vacunas estan en fase 3 (solo dieron datos prenimilares). El inconveniente fue que no vino al continente americano hacer sus ensayos... Lo hicieron en Asia y demás.
2021-01-11,"lo positivo de esto es que no van ser las únicas vacunas que lleguen... Van llegar 4 creo aztranezeca, Sputnik v, sinovac, etc. Tendremos para elegir si desconfiamos de alguna vacuna en particular."
2021-01-11,"no se llama desconfianza, es ser objetivos y observar como el gobierno se cruza de brazos y no hace nada, dejando opinar a gente que no tiene la más mínima idea de que hacer y gobernados por la ignorancia, ofreciendonos mates caseros para control de la pandemia..."
2021-01-11,el tema de la salud siempre fue olvidado por todos los gobiernos que han pasado... Es lamentable.
2021-01-11,"así es...pero este es el peor, quizo ser gobierno no teniendo la más mínima idea de lo que debía hacerse y es el que menos cree en la ciencia así que nos espera un futuro a corto plazo desastroso."
2021-01-11,"pasa que personas de tercera edad, pueden vacunarse no sera ningun riesgo,se estan haciendo todavia pruebas masivas en grupos etarios, para concluir esta condicion"
2021-01-11,"como se puede hacer eso sin ensayos de tercera fase, si sabes lo que es el método científico claro que no puedes aplicar nada sin esa importante fase."
2021-01-11,Primero que se vacune al poder Ejecutivo y Legislativo y luego veremos
2021-01-11,Rusia comentando de la efectividad de su vacuna es como Evo afirmando que en el chaparre no hay droga
2021-01-11,"Y los artículos que demuestra su efectividad?, Las pruebas que se realizaron por organismos externos a Rusia?"
2021-01-11,"Si la vacuna nos ayudárá a evitár lá enfermedad por que negarse, yá que la recuperácion del COVID cuesta demasiado y creo que la mayoria no cuenta con los recursos economicos por eso debemos pensar mas en nuestra salud. Yo personalmente prefiero la vac… Ver más"
2021-01-11,Y esta efectividad en cual revista científica fue publicada si faltaba la tercera face de las pruebas??????
2021-01-11,Obviamente. Cada quien vende su Charke..m
2021-01-11,En fin la vacuna es voluntaria si hay o no efectividad en la aplicacion de ella esta muy dudosa pero solo de ti depende no bajar la guardia ante esta pandemia protejete y protejeba los tuyos a cuidarnos
2021-01-11,Claro a ellos les conviene vender vacunas que ni están comprobadas en seres humanos pero que les va a importar la vida humana a esta gente comunista...
2021-01-11,"Por suerte la vacuna será voluntaria, así que el que no quiere vacunarse no se vacuna y el que quiera se vacuna, al final cada quien asumirá sus consecuencias"
2021-01-11,Que sea aprobado por la OMS y los demas mienbros de los encargados del COVID 19
2021-01-11,debería pedir que también avalen científicamente la ivermectina para la prevención del covid
2021-01-11,"No están certificados por ningún organismo internacional dedicada a la salud,pornsi no sabias ,ni en rusia se quieren hacer colocar esa inyección"
2021-01-11,Cuando se califique con la Unión europea que lo publiquen
2021-01-11,Con esas 6 mil dosis q vacunen al gobierno y su gabinete y allegados y si no pasa nada ya con las demás a la población en general .... Q encabece el desaparecido presi 🤔🤔🤔
2021-01-11,Y por q tenemos q esperar has fin de Enero. Ya debió llegar y administrar a los q son negativos luego de hacer la prueba nasofaringio
2021-01-11,"Veo que todas las farmacéuticas dicen tener la mejor vacuna, pero mi pregunta es: la vacuna es efectiva cuando El virus muta??"
2021-01-11,Atb canal masista muy mal
2021-01-11,Con todos sus reportajes porque no dan cobertura a los nuevos muertos a causa de COVID y el gobierno hasta ahora no hizo nada todo era echarle la culpa a Añez como si ella estuviera 14 años en el poder . Fin
2021-01-11,me vas a hacer llorar ggg
2021-01-11,llora pues llunku
2021-01-11,6000 para quien por lo menos unos 300 mil algo apalearia en este sufrimiento
2021-01-11,Y por eso sus médicos y Putin no se la quieren poner
2021-01-11,acaso no es la OMS la que exige que se cumpla los requisitos para esta vacuna que aun no tiene efectividad ni en su propio pais
2021-01-11,"Que wena, de una me vacunare... Jallallla Rusia..."
2021-01-11,"adelante, vacune se, sea el conejillo de indias"
2021-01-11,"valee, y gracias por su apoyo"
2021-01-11,"Cada panadero alaba a su pan, demostrar científicamente Por favor que pasa pues ?"
2021-01-11,"No es obligatorio la vacunacion, si uno piensa que es peligroso a su salud no se vacuna y listo porque tando lio."
2021-01-11,"porque los que s Evan a vacunar con esa vacuna, se van a pone roeor y será un costo adicional al estado y muy difícil para los médicos"
2021-01-11,Porque si la mayoría no se vacuna seguiran incrementando los casos
2021-01-11,quienes creen que están pagando esa vacuna inservible somos nosotros
2021-01-11,"Primero que se vacune Arce, Choquehuanca y sus ministros también sus servidores públicos. ¡Veremos si es efectiva la vacuna!!!"
2021-01-11,Esa vacuna no tiene seguimiento de seguridad
2021-01-11,El ATB se dedica dia y noche para dar fe lo que le dicen sus jefes azules
2021-01-11,"6 mil dosis a fin de mes .!!!! Es una burla. Mientras tanto siguen muriendo, que incapaces estos socialistas.!!"
2021-01-11,"6000 para una poblacion de mas de 11 millones, y lo peor que la vacuna rusa son dos dosis... asi que 3000 personas vacunadas de 11 millones. 🤣🤣🤣🤣🤣🤣🤣🤣🤣 que buena gestion del nuevo gobierno 🤣🤣🤣🤣🤣🤣🤣"
2021-01-11,El vendedor ratifica la efectividad de su producto mmmm...
2021-01-11,no digo xD
2021-01-11,La gente inteligente se va a poner la vacuna lo siento mucho por las otras que piensa lo contrario
2021-01-11,Excelente!!! La mejor de todas. Más aún que ya unió fuerzas con AstraZeneca-Oxford.
2021-01-11,Creadores de la vacuna Sputnik V y AstraZeneca firman acuerdo de cooperación
2021-01-11,Creadores de la vacuna Sputnik V y AstraZeneca firman acuerdo de cooperación
2021-01-11,Creadores de la vacuna Sputnik V y AstraZeneca firman acuerdo de cooperación
2021-01-11,"en serio y por que se esta uniendo cada más y nada menos hasta con Oxford, es raro, por que Rusia es uno de los países con más infectados, y además de eso es de la misma línea que arce bueno socialista comunista"
2021-01-11,"Bueno Paolis... respondiendo por partes, si bien Rusia tiene un alto indice de contagio por obvias razones de cantidad de población (aun así muchísimo menor que la mayoría). También tiene proporcionalmente uno de los más bajos índices de muerte y de los más altos en recuperación. Por otro lado dice claramente el artículo que la unión de fuerzas entre AstraZeneca y Gamaleya responden a una lucha frontal contra el virus. ""Es importante hacer uso de todas las posibilidades que da la cooperación internacional para acercar al máximo el momento de la victoria sobre la infección""."
2021-01-11,"Desde hace ya buen tiempo vengo leyendo un poco sobre todas las posibles vacunas (Pfizer, Moderna, AstraZeneca, Janssen, Novavax, etc) y está en especial es la que más me convence en todo sentido."
2021-01-11,Si te quieres informar un poco mas aqui te dejo un articulo: https://www.infobae.com/.../las-10-claves-de-la-vacuna.../
2021-01-11,Las 10 claves de la vacuna rusa que hay que conocer
2021-01-11,Las 10 claves de la vacuna rusa que hay que conocer
2021-01-11,Las 10 claves de la vacuna rusa que hay que conocer
