"","item1","item2","correlation"
"1","vacuna","masiva",0.24
"2","vacuna","plan",0.17
"3","vacuna","puntos",0.15
"4","vacuna","obligatoria",0.14
"5","vacuna","gobierno",0.14
"6","vacuna","centros",0.14
"7","vacuna","vacios",0.14
"8","vacuna","suministro",0.14
"9","vacuna","equidad",0.14
"10","vacuna","pospone",0.14
